,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Canada,CA,Ontario,,,51.25,-85.32,1,0,0,1,2020-01-26 00:00:00+00:00
1,Canada,CA,Ontario,,,51.25,-85.32,1,0,0,1,2020-01-27 00:00:00+00:00
2,Canada,CA,British Columbia,,,49.28,-123.12,1,0,0,1,2020-01-28 00:00:00+00:00
3,Canada,CA,Ontario,,,51.25,-85.32,1,0,0,1,2020-01-28 00:00:00+00:00
4,Canada,CA,British Columbia,,,49.28,-123.12,1,0,0,1,2020-01-29 00:00:00+00:00
5,Canada,CA,Ontario,,,51.25,-85.32,1,0,0,1,2020-01-29 00:00:00+00:00
6,Canada,CA,British Columbia,,,49.28,-123.12,1,0,0,1,2020-01-30 00:00:00+00:00
7,Canada,CA,Ontario,,,51.25,-85.32,1,0,0,1,2020-01-30 00:00:00+00:00
8,Canada,CA,British Columbia,,,49.28,-123.12,1,0,0,1,2020-01-31 00:00:00+00:00
9,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-01-31 00:00:00+00:00
10,Canada,CA,British Columbia,,,49.28,-123.12,1,0,0,1,2020-02-01 00:00:00+00:00
11,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-01 00:00:00+00:00
12,Canada,CA,British Columbia,,,49.28,-123.12,1,0,0,1,2020-02-02 00:00:00+00:00
13,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-02 00:00:00+00:00
14,Canada,CA,British Columbia,,,49.28,-123.12,1,0,0,1,2020-02-03 00:00:00+00:00
15,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-03 00:00:00+00:00
16,Canada,CA,British Columbia,,,49.28,-123.12,1,0,0,1,2020-02-04 00:00:00+00:00
17,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-04 00:00:00+00:00
18,Canada,CA,British Columbia,,,49.28,-123.12,2,0,0,2,2020-02-05 00:00:00+00:00
19,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-05 00:00:00+00:00
20,Canada,CA,British Columbia,,,49.28,-123.12,2,0,0,2,2020-02-06 00:00:00+00:00
21,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-06 00:00:00+00:00
22,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-07 00:00:00+00:00
23,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-07 00:00:00+00:00
24,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-08 00:00:00+00:00
25,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-08 00:00:00+00:00
26,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-09 00:00:00+00:00
27,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-09 00:00:00+00:00
28,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-10 00:00:00+00:00
29,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-10 00:00:00+00:00
30,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-11 00:00:00+00:00
31,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-11 00:00:00+00:00
32,Canada,CA,,,,56.13,-106.35,7,0,1,6,2020-02-12 00:00:00+00:00
33,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-12 00:00:00+00:00
34,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-12 00:00:00+00:00
35,Canada,CA,,,,56.13,-106.35,7,0,1,6,2020-02-13 00:00:00+00:00
36,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-13 00:00:00+00:00
37,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-13 00:00:00+00:00
38,Canada,CA,,,,56.13,-106.35,7,0,1,6,2020-02-14 00:00:00+00:00
39,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-14 00:00:00+00:00
40,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-14 00:00:00+00:00
41,Canada,CA,,,,56.13,-106.35,7,0,1,6,2020-02-15 00:00:00+00:00
42,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-15 00:00:00+00:00
43,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-15 00:00:00+00:00
44,Canada,CA,,,,56.13,-106.35,7,0,1,6,2020-02-16 00:00:00+00:00
45,Canada,CA,British Columbia,,,49.28,-123.12,4,0,0,4,2020-02-16 00:00:00+00:00
46,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-16 00:00:00+00:00
47,Canada,CA,,,,56.13,-106.35,8,0,1,7,2020-02-17 00:00:00+00:00
48,Canada,CA,British Columbia,,,49.28,-123.12,5,0,0,5,2020-02-17 00:00:00+00:00
49,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-17 00:00:00+00:00
50,Canada,CA,,,,56.13,-106.35,8,0,1,7,2020-02-18 00:00:00+00:00
51,Canada,CA,British Columbia,,,49.28,-123.12,5,0,0,5,2020-02-18 00:00:00+00:00
52,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-18 00:00:00+00:00
53,Canada,CA,,,,56.13,-106.35,8,0,1,7,2020-02-19 00:00:00+00:00
54,Canada,CA,British Columbia,,,49.28,-123.12,5,0,0,5,2020-02-19 00:00:00+00:00
55,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-19 00:00:00+00:00
56,Canada,CA,,,,56.13,-106.35,8,0,1,7,2020-02-20 00:00:00+00:00
57,Canada,CA,British Columbia,,,49.28,-123.12,5,0,0,5,2020-02-20 00:00:00+00:00
58,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-20 00:00:00+00:00
59,Canada,CA,,,,56.13,-106.35,9,0,3,6,2020-02-21 00:00:00+00:00
60,Canada,CA,British Columbia,,,49.28,-123.12,6,0,0,6,2020-02-21 00:00:00+00:00
61,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-21 00:00:00+00:00
62,Canada,CA,,,,56.13,-106.35,9,0,3,6,2020-02-22 00:00:00+00:00
63,Canada,CA,British Columbia,,,49.28,-123.12,6,0,0,6,2020-02-22 00:00:00+00:00
64,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-22 00:00:00+00:00
65,Canada,CA,,,,56.13,-106.35,9,0,3,6,2020-02-23 00:00:00+00:00
66,Canada,CA,British Columbia,,,49.28,-123.12,6,0,0,6,2020-02-23 00:00:00+00:00
67,Canada,CA,Ontario,,,51.25,-85.32,3,0,0,3,2020-02-23 00:00:00+00:00
68,Canada,CA,,,,56.13,-106.35,10,0,3,7,2020-02-24 00:00:00+00:00
69,Canada,CA,British Columbia,,,49.28,-123.12,6,0,0,6,2020-02-24 00:00:00+00:00
70,Canada,CA,Ontario,,,51.25,-85.32,4,0,0,4,2020-02-24 00:00:00+00:00
71,Canada,CA,,,,56.13,-106.35,11,0,3,8,2020-02-25 00:00:00+00:00
72,Canada,CA,British Columbia,,,49.28,-123.12,7,0,0,7,2020-02-25 00:00:00+00:00
73,Canada,CA,Ontario,,,51.25,-85.32,4,0,0,4,2020-02-25 00:00:00+00:00
74,Canada,CA,,,,56.13,-106.35,11,0,3,8,2020-02-26 00:00:00+00:00
75,Canada,CA,British Columbia,,,49.28,-123.12,7,0,0,7,2020-02-26 00:00:00+00:00
76,Canada,CA,Ontario,,,51.25,-85.32,4,0,0,4,2020-02-26 00:00:00+00:00
